,n_qubits,check_time,result
0,2,0.007184456,equivalent_up_to_global_phase
1,3,0.009976055,equivalent_up_to_global_phase
2,4,0.011880998,equivalent_up_to_global_phase
3,5,0.015326425,equivalent_up_to_global_phase
4,6,0.01952141,equivalent_up_to_global_phase
5,7,0.024287892,equivalent_up_to_global_phase
6,8,0.047011711,equivalent_up_to_global_phase
7,9,0.090925702,equivalent_up_to_global_phase
8,10,0.169242141,equivalent_up_to_global_phase
9,11,66.871741678,equivalent_up_to_global_phase
10,12,1.591990823,equivalent_up_to_global_phase
